"repo","source_path","current_role","correct_owner","action","target_path","risk","reason","import_rewrite","approved"
"agent-lee-agentic-os","agent-lee-agentic-os/LeeWay-Standards/.nojekyll","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"agent-lee-agentic-os","agent-lee-agentic-os/LeeWay-Standards/LeeWay-Standards/.nojekyll","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"agent-lee-agentic-os","agent-lee-agentic-os/node","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/mcp-server/mcp-start.out","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/LeeWay-Standards/.nojekyll","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Edge-Integrated","LeeWay-Edge-Integrated/gpu/document0","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Edge-Integrated","LeeWay-Edge-Integrated/gpu/LeeWay-Standards/.nojekyll","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Edge-Integrated","LeeWay-Edge-Integrated/LeeWay-Standards/.nojekyll","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Edge-Integrated","LeeWay-Edge-Integrated/LeeWay-Standards/LeeWay-Standards/.nojekyll","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Edge-Integrated","LeeWay-Edge-Integrated/rtc/docs/images/.gitkeep","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Edge-Integrated","LeeWay-Edge-Integrated/rtc/public/.nojekyll","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/docs/images/.gitkeep","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/public/.nojekyll","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeewayEdgeWebGPU","LeewayEdgeWebGPU/.env.local","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeewayEdgeWebGPU","LeewayEdgeWebGPU/document0","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeewayEdgeWebGPU","LeewayEdgeWebGPU/LeeWay-Standards/.nojekyll","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Standards","LeeWay-Standards/.nojekyll","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Standards","LeeWay-Standards/LeeWay-Standards/.nojekyll","placeholder","External","QUARANTINE","","low","dead placeholder file","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/agents/agents/AdamCortex.ts","duplicate","agent-lee-agentic-os","QUARANTINE","","low","duplicate across repos canonical agent-lee-agentic-os","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/agents/CORE/L3_Cognition/AdamCortex.ts","duplicate","agent-lee-agentic-os","QUARANTINE","","low","duplicate across repos canonical agent-lee-agentic-os","false","false"
"LeewayEdgeWebGPU","LeewayEdgeWebGPU/agents/agents/AdamCortex.ts","duplicate","agent-lee-agentic-os","QUARANTINE","","low","duplicate across repos canonical agent-lee-agentic-os","false","false"
"LeewayEdgeWebGPU","LeewayEdgeWebGPU/agents/CORE/L3_Cognition/AdamCortex.ts","duplicate","agent-lee-agentic-os","QUARANTINE","","low","duplicate across repos canonical agent-lee-agentic-os","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/agents/agents/AgentLee.ts","duplicate","agent-lee-agentic-os","QUARANTINE","","low","duplicate across repos canonical agent-lee-agentic-os","false","false"
