"repo","source_path","current_role","correct_owner","action","target_path","risk","reason","import_rewrite","approved"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/LeeWay-Standards/src/agents/integrity/syntax-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/LeeWay-Standards/src/agents/integrity/syntax-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/LeeWay-Standards/src/agents/mcp/endpoint-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/LeeWay-Standards/src/agents/mcp/endpoint-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/LeeWay-Standards/src/agents/mcp/env-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/LeeWay-Standards/src/agents/mcp/env-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/LeeWay-Standards/src/agents/mcp/health-agent-lite.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/LeeWay-Standards/src/agents/mcp/health-agent-lite.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/LeeWay-Standards/src/agents/mcp/manifest-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/LeeWay-Standards/src/agents/mcp/manifest-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/LeeWay-Standards/src/agents/mcp/port-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/LeeWay-Standards/src/agents/mcp/port-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/LeeWay-Standards/src/agents/mcp/process-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/LeeWay-Standards/src/agents/mcp/process-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/LeeWay-Standards/src/agents/mcp/runtime-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/LeeWay-Standards/src/agents/mcp/runtime-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/LeeWay-Standards/src/agents/mcp/transport-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/LeeWay-Standards/src/agents/mcp/transport-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/LeeWay-Standards/src/agents/orchestration/doctor-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/LeeWay-Standards/src/agents/orchestration/doctor-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/LeeWay-Standards/src/agents/orchestration/memory-agent-lite.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Edge-RTC-main","LeeWay-Edge-RTC-main/LeeWay-Standards/src/agents/orchestration/memory-agent-lite.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
"LeeWay-Agents-the-World-Within","LeeWay-Agents-the-World-Within/.leeway/full-package-smoke/LeeWay-Standards/src/agents/orchestration/router-agent.js","duplicate","LeeWay-Agents-the-World-Within","QUARANTINE","","low","duplicate across repos canonical LeeWay-Agents-the-World-Within","false","false"
