group_id,source_pattern,repo,source_path,target_path,reason,risk
G001,**/transport/**,LeeWay-Edge-Integrated,LeeWay-Edge-Integrated/gpu/rtc/cluster.registry.js,LeeWay-Edge-RTC-main/src/transport,rtc logic outside rtc repo,high
G001,**/transport/**,LeeWay-Edge-Integrated,LeeWay-Edge-Integrated/gpu/rtc/discovery.broadcast.js,LeeWay-Edge-RTC-main/src/transport,rtc logic outside rtc repo,high
G001,**/transport/**,LeeWay-Edge-Integrated,LeeWay-Edge-Integrated/gpu/rtc/gpu.rtc.bridge.js,LeeWay-Edge-RTC-main/src/transport,rtc logic outside rtc repo,high
G001,**/transport/**,LeeWay-Edge-Integrated,LeeWay-Edge-Integrated/rtc/clients/web-demo/Dockerfile,LeeWay-Edge-RTC-main/src/transport,rtc logic outside rtc repo,high
G001,**/transport/**,LeeWay-Edge-Integrated,LeeWay-Edge-Integrated/rtc/clients/web-demo/index.html,LeeWay-Edge-RTC-main/src/transport,rtc logic outside rtc repo,high
G001,**/transport/**,LeeWay-Edge-Integrated,LeeWay-Edge-Integrated/rtc/clients/web-demo/nginx.conf,LeeWay-Edge-RTC-main/src/transport,rtc logic outside rtc repo,high
G001,**/transport/**,LeeWay-Edge-Integrated,LeeWay-Edge-Integrated/rtc/clients/web-demo/package-lock.json,LeeWay-Edge-RTC-main/src/transport,rtc logic outside rtc repo,high
G001,**/transport/**,LeeWay-Edge-Integrated,LeeWay-Edge-Integrated/rtc/clients/web-demo/package.json,LeeWay-Edge-RTC-main/src/transport,rtc logic outside rtc repo,high
G001,**/transport/**,LeeWay-Edge-Integrated,LeeWay-Edge-Integrated/rtc/clients/web-demo/src/App.module.css,LeeWay-Edge-RTC-main/src/transport,rtc logic outside rtc repo,high
G001,**/transport/**,LeeWay-Edge-Integrated,LeeWay-Edge-Integrated/rtc/clients/web-demo/src/App.tsx,LeeWay-Edge-RTC-main/src/transport,rtc logic outside rtc repo,high
